id,name,brand,categories,primaryCategories,reviews.doRecommend,reviews.rating,reviews.text,reviews.title
1,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,Really great and reliable product to use. I would recommend buying these shoes if you are looking for an affordable pair of shoes. Feels very breathable and east to move around,"5.0 out of 5 stars
Affordable and Breathable"
2,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Worth the price. Very comfortable and light. After 6 to 7 months sole becomes thin. But if you consider the price then it's what you'll get 😏,"4.0 out of 5 stars
Stylish and sturdy"
3,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,"Light weightValue for moneyGood designSize fit (do not go by suggestions of plus 1 size, it fits whatever is your original size)","5.0 out of 5 stars
Value for money product"
4,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Shoe is good.What rubbish is that amazon is now charging extra money in the name of CASH ON DELIVERY.I mean:40 rupees delivery charges7 rupees CASH ON DELIVERY chargesNo wonder jeff bezos is among world’s richest man.,"3.0 out of 5 stars
Stupid Cash on delivery charges"
5,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Durable. Good quality. Value for money. Light weight and comfortable.,"5.0 out of 5 stars
Durable. Comfortable. Light weight"
6,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Good shoe for the price. Liked the looks. Cushioning could have been done better.,"4.0 out of 5 stars
Good shoes"
7,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Fantastic quality at this price range and light weight too. Go for it. 👍🏽,"5.0 out of 5 stars
Perfect"
8,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,"After using the ASIAN Men's Wonder-13 Running Shoes for about 5–6 months, here’s my honest take on them:What I Loved:✅ Lightweight and breathable: These shoes feel super light on the feet, and the breathable material kept my feet cool during workouts and runs. 🏃‍♂️💨✅ Comfortable cushioning: The cushioning was great, especially in the first few months. It made running and casual use feel easy and enjoyable. 💪✅ Stylish design: They definitely look good and go well with both workout gear and casual outfits. I’ve gotten a few compliments on them too! 😎👕What Didn’t Work So Well:❌ Durability concerns: After about 4 months of regular use, I started noticing some wear and tear, especially in the sole and stitching. They’re not built for heavy or long-term use. 😕❌ Support over time: The cushioning and support seemed to flatten out a bit after extended use, which made longer runs less comfortable. 🕒","4.0 out of 5 stars
Lightweight, Stylish, and Comfy"
9,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Good shoes and seems comfortable with this price.but the packaging was too poor.It's like just for sake it got delivered. The box was broken and not packed properly. Work on the packaging part.,"4.0 out of 5 stars
Comfort"
10,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Product quality is good for the price. Worth it,"4.0 out of 5 stars
Good product"
11,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,Good,"4.0 out of 5 stars
Shoe"
12,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Shoes quality is good.,"4.0 out of 5 stars
Good"
13,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Nice,"4.0 out of 5 stars
Nice one"
14,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Good comfortable shoes and quality seems to be ok.,"4.0 out of 5 stars
Value for money"
15,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,If you are up to running don't buy these cuz the sole is not that soft . Otherwise u can simply go for it .,"4.0 out of 5 stars
Definetly not for running and best for other purpose"
